District,1AB,1C,Type 2,Type 3,Total
Ampara,35,68,148,186,437
Anuradhapura,37,97,173,250,557
Badulla,48,131,192,230,601
Batticaloa,34,54,105,164,357
Colombo,80,77,140,108,405
Galle,67,70,111,183,431
Gampaha,69,103,184,180,536
Hambantota,38,66,127,89,320
Jaffna,50,42,149,198,439
Kaegalle,48,93,185,204,530
Kalutara,50,66,162,141,419
Kandy,60,161,216,213,650
Kilinochchi,12,14,37,41,104
Kurunegala,72,186,302,330,890
Mannar,16,21,31,65,133
Matale,20,66,101,136,323
Matara,45,72,127,119,363
Monaragala,35,46,119,94,294
Mullativu,14,10,40,59,123
Nuwaraeliya,35,89,150,274,548
Polonnaruwa,24,33,58,133,248
Puttalam,35,69,158,107,369
Ratnapura,55,90,250,206,601
Trincomalee,25,59,98,130,312
Vavuniya,12,22,45,93,172
