District,ol_sat_more_than_5,ol_qualified_for_al,ol_qualified_for_al_perc,ol_failed_all,ol_failed_all_perc,range_score
Hambantota,8913,7136,80.06,112,1.26,1
Matara,11772,9421,80.03,136,1.16,1
Galle,15540,12211,78.58,199,1.28,1
Colombo,33231,26018,78.29,693,2.09,1
Kurunegala,24146,18538,76.77,419,1.74,1
Kegalle,12083,9113,75.42,309,2.56,1
Kandy,20986,15520,73.95,500,2.38,1
Ratnapura,14862,10915,73.44,418,2.81,1
Kalutara,16946,12264,72.37,494,2.92,1
Ampara,10160,7318,72.03,228,2.24,1
Gampaha,28531,20422,71.58,906,3.18,1
Mannar,1751,1251,71.44,26,1.48,1
Badulla,12761,9068,71.06,282,2.21,1
Anuradhapura,13435,9486,70.61,453,3.37,1
Matale,7312,5154,70.49,204,2.79,1
Puttalam,10606,7388,69.66,205,1.93,2
Polonnaruwa,6020,4139,68.75,175,2.91,2
Vavuniya,2704,1853,68.53,47,1.74,2
Jaffna,9176,6219,67.77,339,3.69,2
Monaragala,6710,4505,67.14,218,3.25,2
Nuwara Eliya,10679,7164,67.08,214,2,2
Batticaloa,8055,5276,65.5,249,3.09,2
Trincomalee,6065,3858,63.61,271,4.47,2
Mullaitivu,1884,1158,61.46,84,4.46,2
Kilinochchi,2484,1420,57.17,127,5.11,3
