District,num_sat,pass_all,pass_all_perc,fail_all,fail_all_perc,prev_pass_all_perc,prev_fail_all_perc
Ampara,6510,3997,61.4,580,8.91,55.91,10.3
Anuradhapura,8822,5273,59.77,907,10.28,59.75,9.86
Badulla,9751,6098,62.54,771,7.91,60.69,9.42
Batticaloa,4749,3017,63.53,321,6.76,59.41,9.13
Colombo,26255,17287,65.84,1955,7.45,61.27,9.16
Galle,12762,8094,63.42,1152,9.03,60.84,10.6
Gampaha,19432,12175,62.65,1671,8.6,60.9,10.04
Hambantota,6939,4437,63.94,614,8.85,63.18,8.76
Jaffna,6925,4567,65.95,495,7.15,63.64,8.52
Kalutara,11567,7398,63.96,1019,8.81,60.56,9.61
Kandy,15614,9500,60.84,1304,8.35,58.74,8.64
Kegalle,9351,5948,63.61,756,8.08,63.51,7.68
Kilinochchi,1216,780,64.14,95,7.81,60.7,8.95
Kurunegala,17671,10767,60.93,1623,9.18,58.85,9.34
Mannar,1337,883,66.04,91,6.81,62.52,8.1
Matale,4930,3151,63.91,396,8.03,60.62,8.37
Matara,9919,6363,64.15,871,8.78,64.43,8.92
Monaragala,4642,3012,64.89,344,7.41,63.42,7.37
Mullativu,1074,672,62.57,108,10.06,59.06,12.21
Nuwara Eliya,6110,3873,63.39,502,8.22,61.2,9.35
Polonnaruwa,3485,2021,57.99,386,11.08,56.48,9.54
Puttalam,6162,3894,63.19,497,8.07,61.86,8.27
Ratnapura,11147,7700,69.08,731,6.56,64.4,7.77
Trincomalee,3720,2278,61.24,354,9.52,57.11,9.18
Vavuniya,1775,1053,59.32,159,8.96,60.53,8.72
