District,1AB,1C,Type 2,Type 3,Total
Ampara,37,67,148,186,438
Anuradhapura,39,98,167,258,562
Badulla,49,128,176,253,606
Batticaloa,36,53,103,167,359
Colombo,76,80,127,121,404
Galle,66,73,100,191,430
Gampaha,72,100,179,186,537
Hambantota,38,70,120,93,321
Jaffna,50,44,145,214,453
Kaegalle,51,90,184,206,531
Kalutara,53,62,160,143,418
Kandy,60,163,209,217,649
Kilinochchi,12,14,37,41,104
Kurunegala,71,187,287,340,885
Mannar,15,22,31,69,137
Matale,20,64,100,137,321
Matara,45,73,113,130,361
Monaragala,34,50,114,96,294
Mullativu,14,13,38,58,123
Nuwaraeliya,34,92,146,277,549
Polonnaruwa,25,32,58,135,250
Puttalam,35,71,155,110,371
Ratnapura,58,88,253,199,598
Trincomalee,26,62,95,130,313
Vavuniya,13,22,43,102,180
